文字,超連結
3192. 使二进制数组全部等于 1 的最少操作次数 II,https://leetcode.cn/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-ii/
2789. 合并后数组中的最大元素,https://leetcode.cn/problems/largest-element-in-an-array-after-merge-operations/
1529. 最少的后缀翻转次数,https://leetcode.cn/problems/minimum-suffix-flips/
1144. 递减元素使数组呈锯齿状,https://leetcode.cn/problems/decrease-elements-to-make-array-zigzag/
3228. 将 1 移动到末尾的最大操作次数,https://leetcode.cn/problems/maximum-number-of-operations-to-move-ones-to-the-end/
2086. 喂食仓鼠的最小食物桶数,https://leetcode.cn/problems/minimum-number-of-food-buckets-to-feed-the-hamsters/
2571. 将整数减少到零需要的最少操作数,https://leetcode.cn/problems/minimum-operations-to-reduce-an-integer-to-0/
3326. 使数组非递减的最少除法操作次数,https://leetcode.cn/problems/minimum-division-operations-to-make-array-non-decreasing/
1536. 排布二进制网格的最少交换次数,https://leetcode.cn/problems/minimum-swaps-to-arrange-a-binary-grid/
2673. 使二叉树所有路径值相等的最小代价,https://leetcode.cn/problems/make-costs-of-paths-equal-in-a-binary-tree/
861. 翻转矩阵后的得分,https://leetcode.cn/problems/score-after-flipping-matrix/
955. 删列造序 II,https://leetcode.cn/problems/delete-columns-to-make-sorted-ii/
2366. 将数组排序的最少替换次数,https://leetcode.cn/problems/minimum-replacements-to-sort-the-array/
2528. 最大化城市的最小电量,https://leetcode.cn/problems/maximize-the-minimum-powered-city/
3449. 最大化游戏分数的最小值,https://leetcode.cn/problems/maximize-the-minimum-game-score/
2422. 使用合并操作将数组转换为回文序列,https://leetcode.cn/problems/merge-operations-to-turn-array-into-a-palindrome/
1221. 分割平衡字符串,https://leetcode.cn/problems/split-a-string-in-balanced-strings/
2405. 子字符串的最优划分,https://leetcode.cn/problems/optimal-partition-of-string/
2294. 划分数组使最大差为 K,https://leetcode.cn/problems/partition-array-such-that-maximum-difference-is-k/
2358. 分组的最大数量,https://leetcode.cn/problems/maximum-number-of-groups-entering-a-competition/
2522. 将字符串分割成值不超过 K 的子字符串,https://leetcode.cn/problems/partition-string-into-substrings-with-values-at-most-k/
1546. 和为目标值且不重叠的非空子数组的最大数目,https://leetcode.cn/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/
2436. 使子数组最大公约数大于一的最小分割数,https://leetcode.cn/problems/minimum-split-into-subarrays-with-gcd-greater-than-one/
2892. 将相邻元素相乘后得到最小化数组,https://leetcode.cn/problems/minimizing-array-after-replacing-pairs-with-their-product/
2171. 拿出最少数目的魔法豆,https://leetcode.cn/problems/removing-minimum-number-of-magic-beans/
3085. 成为 K 特殊字符串需要删除的最少字符数,https://leetcode.cn/problems/minimum-deletions-to-make-string-k-special/
1727. 重新排列后的最大子矩阵,https://leetcode.cn/problems/largest-submatrix-with-rearrangements/
2749. 得到整数零需要执行的最少操作数,https://leetcode.cn/problems/minimum-operations-to-make-the-integer-zero/
2910. 合法分组的最少组数,https://leetcode.cn/problems/minimum-number-of-groups-to-create-a-valid-assignment/
2234. 花园的最大总美丽值,https://leetcode.cn/problems/maximum-total-beauty-of-the-gardens/
2895. 最小处理时间,https://leetcode.cn/problems/minimum-processing-time/
3457. 吃披萨,https://leetcode.cn/problems/eat-pizzas/
1665. 完成所有任务的最少初始能量,https://leetcode.cn/problems/minimum-initial-energy-to-finish-tasks/
3273. 对 Bob 造成的最少伤害,https://leetcode.cn/problems/minimum-amount-of-damage-dealt-to-bob/
2136. 全部开花的最早一天,https://leetcode.cn/problems/earliest-possible-day-of-full-bloom/
179. 最大数,https://leetcode.cn/problems/largest-number/
3309. 连接二进制表示可形成的最大数值,https://leetcode.cn/problems/maximum-possible-number-by-binary-concatenation/
2412. 完成所有交易的初始最少钱数,https://leetcode.cn/problems/minimum-money-required-before-transactions/
2335. 装满杯子需要的最短总时长,https://leetcode.cn/problems/minimum-amount-of-time-to-fill-cups/
1753. 移除石子的最大得分,https://leetcode.cn/problems/maximum-score-from-removing-stones/
1054. 距离相等的条形码,https://leetcode.cn/problems/distant-barcodes/
2856. 删除数对后的最小数组长度,https://leetcode.cn/problems/minimum-array-length-after-pair-removals/
1953. 你可以工作的最大周数,https://leetcode.cn/problems/maximum-number-of-weeks-for-which-you-can-work/
767. 重构字符串,https://leetcode.cn/problems/reorganize-string/
3495. 使数组元素都变为零的最少操作次数,https://leetcode.cn/problems/minimum-operations-to-make-array-elements-zero/
3139. 使数组中所有元素相等的最小开销,https://leetcode.cn/problems/minimum-cost-to-equalize-array/
621. 任务调度器,https://leetcode.cn/problems/task-scheduler/
358. K 距离间隔重排字符串,https://leetcode.cn/problems/rearrange-string-k-distance-apart/
984. 不含 AAA 或 BBB 的字符串,https://leetcode.cn/problems/string-without-aaa-or-bbb/
1405. 最长快乐字符串,https://leetcode.cn/problems/longest-happy-string/
LCP 30. 魔塔游戏,https://leetcode.cn/problems/p0NxJO/
1642. 可以到达的最远建筑,https://leetcode.cn/problems/furthest-building-you-can-reach/
630. 课程表 III,https://leetcode.cn/problems/course-schedule-iii/
871. 最低加油次数,https://leetcode.cn/problems/minimum-number-of-refueling-stops/
3362. 零数组变换 III,https://leetcode.cn/problems/zero-array-transformation-iii/
2813. 子序列最大优雅度,https://leetcode.cn/problems/maximum-elegance-of-a-k-length-subsequence/
3049. 标记所有下标的最早秒数 II,https://leetcode.cn/problems/earliest-second-to-mark-indices-ii/
2599. 使前缀和数组非负,https://leetcode.cn/problems/make-the-prefix-sum-non-negative/
435. 无重叠区间,https://leetcode.cn/problems/non-overlapping-intervals/
646. 最长数对链,https://leetcode.cn/problems/maximum-length-of-pair-chain/
1520. 最多的不重叠子字符串,https://leetcode.cn/problems/maximum-number-of-non-overlapping-substrings/
3458. 选择 K 个互不重叠的特殊子字符串,https://leetcode.cn/problems/select-k-disjoint-special-substrings/
2406. 将区间分为最少组数,https://leetcode.cn/problems/divide-intervals-into-minimum-number-of-groups/
253. 会议室 II,https://leetcode.cn/problems/meeting-rooms-ii/
452. 用最少数量的箭引爆气球,https://leetcode.cn/problems/minimum-number-of-arrows-to-burst-balloons/
757. 设置交集大小至少为2,https://leetcode.cn/problems/set-intersection-size-at-least-two/
45. 跳跃游戏 II,https://leetcode.cn/problems/jump-game-ii/
1024. 视频拼接,https://leetcode.cn/problems/video-stitching/
1326. 灌溉花园的最少水龙头数目,https://leetcode.cn/problems/minimum-number-of-taps-to-open-to-water-a-garden/
56. 合并区间,https://leetcode.cn/problems/merge-intervals/
57. 插入区间,https://leetcode.cn/problems/insert-interval/
55. 跳跃游戏,https://leetcode.cn/problems/jump-game/
763. 划分字母区间,https://leetcode.cn/problems/partition-labels/
3169. 无需开会的工作日,https://leetcode.cn/problems/count-days-without-meetings/
2580. 统计将重叠区间合并成组的方案数,https://leetcode.cn/problems/count-ways-to-group-overlapping-ranges/
3394. 判断网格图能否被切割成块,https://leetcode.cn/problems/check-if-grid-can-be-cut-into-sections/
2963. 统计好分割方案的数目,https://leetcode.cn/problems/count-the-number-of-good-partitions/
2584. 分割数组使乘积互质,https://leetcode.cn/problems/split-the-array-to-make-coprime-products/
616. 给字符串添加加粗标签,https://leetcode.cn/problems/add-bold-tag-in-string/
758. 字符串中的加粗单词,https://leetcode.cn/problems/bold-words-in-string/
3323. 通过插入区间最小化连通组,https://leetcode.cn/problems/minimize-connected-groups-by-inserting-interval/
759. 员工空闲时间,https://leetcode.cn/problems/employee-free-time/
2655. 寻找最大长度的未覆盖区间,https://leetcode.cn/problems/find-maximal-uncovered-ranges/
1288. 删除被覆盖区间,https://leetcode.cn/problems/remove-covered-intervals/
2054. 两个最好的不重叠活动,https://leetcode.cn/problems/two-best-non-overlapping-events/
1705. 吃苹果的最大数目,https://leetcode.cn/problems/maximum-number-of-eaten-apples/
1353. 最多可以参加的会议数目,https://leetcode.cn/problems/maximum-number-of-events-that-can-be-attended/
