文字,超連結
1590. 使数组和能被 P 整除,https://leetcode.cn/problems/make-sum-divisible-by-p/
2845. 统计趣味子数组的数目,https://leetcode.cn/problems/count-of-interesting-subarrays/
1442. 形成两个异或相等数组的三元组数目,https://leetcode.cn/problems/count-triplets-that-can-form-two-arrays-of-equal-xor/
2949. 统计美丽子字符串 II,https://leetcode.cn/problems/count-beautiful-substrings-ii/
325. 和等于 k 的最长子数组长度,https://leetcode.cn/problems/maximum-size-subarray-sum-equals-k/
548. 将数组分割成和相等的子数组,https://leetcode.cn/problems/split-array-with-equal-sum/
1983. 范围和相等的最宽索引对,https://leetcode.cn/problems/widest-pair-of-indices-with-equal-range-sum/
2489. 固定比率的子字符串数,https://leetcode.cn/problems/number-of-substrings-with-fixed-ratio/
2950. 可整除子串的数量,https://leetcode.cn/problems/number-of-divisible-substrings/
3364. 最小正和子数组,https://leetcode.cn/problems/minimum-positive-sum-subarray/
2025. 分割数组的最多方案数,https://leetcode.cn/problems/maximum-number-of-ways-to-partition-an-array/
1685. 有序数组中差绝对值之和,https://leetcode.cn/problems/sum-of-absolute-differences-in-a-sorted-array/
2615. 等值距离和,https://leetcode.cn/problems/sum-of-distances/
2602. 使数组元素全部相等的最少操作次数,https://leetcode.cn/problems/minimum-operations-to-make-all-array-elements-equal/
2968. 执行操作使频率分数最大,https://leetcode.cn/problems/apply-operations-to-maximize-frequency-score/
1703. 得到连续 K 个 1 的最少相邻交换次数,https://leetcode.cn/problems/minimum-adjacent-swaps-for-k-consecutive-ones/
3086. 拾起 K 个 1 需要的最少行动次数,https://leetcode.cn/problems/minimum-moves-to-pick-k-ones/
3422. 将子数组元素变为相等所需的最小操作数,https://leetcode.cn/problems/minimum-operations-to-make-subarray-elements-equal/
1177. 构建回文串检测,https://leetcode.cn/problems/can-make-palindrome-from-substring/
1371. 每个元音包含偶数次的最长子字符串,https://leetcode.cn/problems/find-the-longest-substring-containing-vowels-in-even-counts/
1542. 找出最长的超赞子字符串,https://leetcode.cn/problems/find-longest-awesome-substring/
1915. 最美子字符串的数目,https://leetcode.cn/problems/number-of-wonderful-substrings/
2791. 树中可以形成回文的路径数,https://leetcode.cn/problems/count-paths-that-can-form-a-palindrome-in-a-tree/
1310. 子数组异或查询,https://leetcode.cn/problems/xor-queries-of-a-subarray/
2438. 二的幂数组中查询范围内的乘积,https://leetcode.cn/problems/range-product-queries-of-powers/
1895. 最大的幻方,https://leetcode.cn/problems/largest-magic-square/
1878. 矩阵中最大的三个菱形和,https://leetcode.cn/problems/get-biggest-three-rhombus-sums-in-a-grid/
1031. 两个非重叠子数组的最大和,https://leetcode.cn/problems/maximum-sum-of-two-non-overlapping-subarrays/
2245. 转角路径的乘积中最多能有几个尾随零,https://leetcode.cn/problems/maximum-trailing-zeros-in-a-cornered-path/
1712. 将数组分成三个子数组的方案数,https://leetcode.cn/problems/ways-to-split-array-into-three-subarrays/
1862. 向下取整数对和,https://leetcode.cn/problems/sum-of-floored-pairs/
363. 矩形区域不超过 K 的最大数值和,https://leetcode.cn/problems/max-sum-of-rectangle-no-larger-than-k/
2281. 巫师的总力量和,https://leetcode.cn/problems/sum-of-total-strength-of-wizards/
3445. 奇偶频次间的最大差值 II,https://leetcode.cn/problems/maximum-difference-between-even-and-odd-frequency-ii/
2983. 回文串重新排列查询,https://leetcode.cn/problems/palindrome-rearrangement-queries/
